Annibale Carracci|http://en.wikipedia.org/wiki/Annibale_Caracci|03/11/1560|Bologna, Italy|44.5075, 11.351389|01/01/1587|Parma, Italy|44.8, 10.333333|01/01/1588|Venice, Italy|45.4375,12.335833|01/01/1589|Bologna, Italy|44.5075, 11.351389|15/07/1609
Francisco Ribalta|http://en.wikipedia.org/wiki/Francisco_Ribalta|02/06/1565|Solsona, Lleida|41.997778, 1.520833|14/01/1628
Peter Paul Rubens|http://en.wikipedia.org/wiki/Peter_Paul_Rubens|28/06/1577|Siegen, Germany|50.883191,8.017137|01/01/1578|Cologne, Germany|50.937554,6.960168|01/12/1589|Antwerp, Belgium|51.216777,4.400311|01/01/1600|Venice, Italy|45.435683,12.339163|01/01/1601|Mantua, Italy|45.166667, 10.8|01/01/1609|Antwerp, Belgium|51.216777,4.400311|30/05/1640
Jusepe de Ribera|http://en.wikipedia.org/wiki/Jusepe_de_Ribera|12/01/1591|Xàtiva, Spain|38.990278, -0.521111|01/06/1611|Parma, Italy|44.8, 10.333333|01/06/1613|Rome, Italy|41.9,12.5|01/06/1616|Naples, Italy|40.845, 14.258333|02/09/1652
Georges de La Tour|http://en.wikipedia.org/wiki/Georges_de_la_Tour|13/03/1593|Vic-sur-Seille, France|48.7831, 6.5322|01/06/1620|Lunéville, France|48.5894, 6.5017|30/01/1652
Artemisia Gentileschi|http://en.wikipedia.org/wiki/Artemisia_Gentileschi|08/07/1593|Rome, Italy|41.9, 12.5|01/06/1614|Florence, Italy|43.783333, 11.25|01/06/1620|Rome, Italy|41.9,12.5|01/06/1630|Naples, Italy|40.845, 14.258333|01/06/1638|London, England|51.507222, -0.1275|01/06/1641|Naples, Italy|40.845, 14.258333|01/06/1653
Jacob Jordaens|http://en.wikipedia.org/wiki/Jacob_Jordaens|19/05/1593|Antwerp, Belgium|51.216777,4.400311|18/10/1678
Nicolas Poussin|http://en.wikipedia.org/wiki/Nicolas_Poussin|15/06/1594|Near Les Andelys, France|49.2461, 1.4125|01/06/1624|Rome, Italy|41.9,12.5|01/06/1640|Paris, France|48.8567, 2.3508|01/06/1642|Rome, Italy|41.9,12.5|19/11/1665
Francisco de Zurbaran|http://en.wikipedia.org/wiki/Francisco_de_Zurbar%C3%A1n|07/11/1598|Fuente de Cantos, Spain|38.25, -6.283333|01/06/1614|Seville, Spain|37.377222, -5.986944|01/06/1658|Madrid, Spain|40.4, -3.683333|27/08/1664
Anthony van Dyck|http://en.wikipedia.org/wiki/Anthony_van_Dyck|22/03/1599|Antwerp, Belgium|51.216777,4.400311|01/01/1620|London, England|51.507222, -0.1275|01/04/1620|Antwerp, Belgium|51.216777,4.400311|01/06/1621|Genoa, Italy|44.411111, 8.932778|01/06/1627|Antwerp, Belgium|51.216777,4.400311|01/04/1632|London, England|51.507222, -0.1275|01/06/1634|Antwerp, Belgium|51.216777,4.400311|01/06/1635|London, England|51.507222, -0.1275|01/06/1640|Antwerp, Belgium|51.216777,4.400311|01/06/1641|London, England|51.507222, -0.1275|09/12/1641
Diego Velazquez|http://en.wikipedia.org/wiki/Diego_Vel%C3%A1zquez|06/06/1599|Seville, Spain|37.377222, -5.986944|01/06/1622|Madrid, Spain|40.4, -3.683333|06/08/1660
Claude Lorrain|http://en.wikipedia.org/wiki/Claude_Lorrain|01/06/1604|Chamagne, France|48.4092, 6.2808|01/06/1616|Freiburg, Germany|47.983333, 7.85|01/06/1619|Naples, Italy|40.845, 14.258333|01/06/1627|Rome, Italy|41.9,12.5|23/11/1682
Giovanni Benedetto Castiglione|http://en.wikipedia.org/wiki/Giovanni_Benedetto_Castiglione|23/03/1609|Genoa, Italy|44.411111, 8.932778|01/06/1651|Mantua, Italy|45.166667, 10.8|01/06/1664
Bartolome Esteban Murillo|http://en.wikipedia.org/wiki/Bartolom%C3%A9_Esteban_Murillo|26/12/1617|Seville, Spain|37.377222, -5.986944|01/06/1642|Madrid, Spain|40.4, -3.683333|01/06/1645|Seville, Spain|37.377222, -5.986944|01/06/1658|Madrid, Spain|40.4, -3.683333|01/06/1660|Seville, Spain|37.377222, -5.986944|03/04/1682
